,event_time,new
479,2019-12-17 01:16:41,2019-12-17 01:16:41
480,2019-12-17 01:16:58,2019-12-17 01:16:58
481,2019-12-17 01:17:02,2019-12-17 01:17:02
482,2019-12-17 01:17:05,2019-12-17 01:17:05
483,2019-12-17 01:17:18,2019-12-17 01:17:18
484,2019-12-17 01:17:38,2019-12-17 01:17:38
485,2019-12-17 01:17:58,2019-12-17 01:17:58
486,2019-12-17 01:18:16,2019-12-17 01:18:16
487,2019-12-17 01:18:29,2019-12-17 01:18:29
488,2019-12-17 01:18:33,2019-12-17 01:18:33
489,2019-12-17 01:18:38,2019-12-17 01:18:38
490,2019-12-17 01:19:07,2019-12-17 01:19:07
491,2019-12-17 01:19:22,2019-12-17 01:19:22
492,2019-12-17 01:19:24,2019-12-17 01:19:24
493,2019-12-17 01:20:04,2019-12-17 01:20:04
494,2019-12-17 01:20:07,2019-12-17 01:20:07
495,2019-12-17 01:20:17,2019-12-17 01:20:17
496,2019-12-17 01:20:53,2019-12-17 01:20:53
497,2019-12-17 01:21:23,2019-12-17 01:21:23
